1466210243.37600, -8.510, 3.270, -0.330, 136.160
1466210243.38600, -8.570, 3.330, -0.330, 136.190
1466210243.39700, -8.620, 3.390, -0.330, 136.220
1466210243.40700, -8.670, 3.450, -0.330, 136.250
1466210243.41700, -8.720, 3.510, -0.340, 136.270
1466210243.42700, -8.770, 3.580, -0.340, 136.300
1466210243.43700, -8.810, 3.630, -0.340, 136.320
1466210243.44700, -8.860, 3.690, -0.340, 136.350
1466210243.45700, -8.900, 3.750, -0.350, 136.370
1466210243.46700, -8.930, 3.810, -0.350, 136.390
1466210243.47700, -8.970, 3.870, -0.350, 136.420
1466210243.48700, -9.000, 3.920, -0.360, 136.440
1466210243.49700, -9.030, 3.980, -0.360, 136.460
1466210243.50600, -9.060, 4.030, -0.360, 136.480
1466210243.51700, -9.090, 4.090, -0.370, 136.490
1466210243.52700, -9.110, 4.140, -0.370, 136.510
1466210243.53700, -9.130, 4.190, -0.370, 136.530
1466210243.54600, -9.150, 4.240, -0.380, 136.540
1466210243.55700, -9.170, 4.290, -0.380, 136.560
1466210243.56700, -9.180, 4.340, -0.380, 136.570
1466210243.57700, -9.190, 4.390, -0.390, 136.580
1466210243.58600, -9.200, 4.440, -0.390, 136.590
1466210243.59700, -9.210, 4.480, -0.390, 136.610
1466210243.60700, -9.210, 4.520, -0.400, 136.610
1466210243.61700, -9.210, 4.570, -0.400, 136.620
1466210243.62700, -9.210, 4.610, -0.410, 136.630
1466210243.63700, -9.210, 4.650, -0.410, 136.640
1466210243.64700, -9.210, 4.690, -0.420, 136.640
1466210243.65700, -9.200, 4.720, -0.420, 136.650
1466210243.66600, -9.190, 4.760, -0.420, 136.650
1466210243.67700, -9.180, 4.800, -0.430, 136.660
1466210243.68700, -9.160, 4.830, -0.430, 136.660
1466210243.69700, -9.140, 4.860, -0.440, 136.660
1466210243.70700, -9.130, 4.890, -0.440, 136.660
1466210243.71600, -9.100, 4.920, -0.450, 136.660
1466210243.72700, -9.080, 4.940, -0.450, 136.660
1466210243.73700, -9.050, 4.970, -0.460, 136.650
1466210243.74600, -9.020, 4.990, -0.460, 136.650
1466210243.75600, -8.990, 5.010, -0.470, 136.650
1466210243.76600, -8.960, 5.030, -0.470, 136.650
1466210243.77700, -8.920, 5.050, -0.470, 136.640
1466210243.78600, -8.880, 5.070, -0.480, 136.630
1466210243.79600, -8.840, 5.080, -0.480, 136.630
1466210243.80700, -8.800, 5.100, -0.490, 136.620
1466210243.81700, -8.750, 5.110, -0.490, 136.610
1466210243.82700, -8.710, 5.120, -0.500, 136.600
1466210243.83700, -8.660, 5.120, -0.500, 136.590
1466210243.84600, -8.600, 5.130, -0.510, 136.590
1466210243.85700, -8.550, 5.130, -0.510, 136.570
1466210243.86600, -8.490, 5.130, -0.520, 136.560
1466210243.87700, -8.440, 5.130, -0.520, 136.550
1466210243.88700, -8.370, 5.130, -0.530, 136.530
1466210243.89700, -8.310, 5.130, -0.530, 136.520
1466210243.90700, -8.250, 5.120, -0.540, 136.510
1466210243.91700, -8.180, 5.120, -0.540, 136.490
1466210243.92700, -8.110, 5.110, -0.550, 136.480
1466210243.93700, -8.040, 5.100, -0.550, 136.460
1466210243.94700, -7.960, 5.090, -0.560, 136.450
1466210243.95700, -7.880, 5.070, -0.560, 136.430
1466210243.96700, -7.800, 5.060, -0.570, 136.410
1466210243.97700, -7.720, 5.040, -0.570, 136.390
1466210243.98700, -7.640, 5.030, -0.580, 136.370
1466210243.99700, -7.550, 5.000, -0.580, 136.350
1466210244.00700, -7.470, 4.980, -0.590, 136.330
1466210244.01700, -7.370, 4.960, -0.590, 136.310
1466210244.02700, -7.280, 4.940, -0.600, 136.300
1466210244.03700, -7.180, 4.920, -0.600, 136.280
1466210244.04700, -7.080, 4.890, -0.600, 136.250
1466210244.05700, -6.980, 4.870, -0.610, 136.230
1466210244.06700, -6.880, 4.840, -0.610, 136.210
1466210244.07700, -6.770, 4.810, -0.620, 136.190
1466210244.08700, -6.660, 4.780, -0.620, 136.170
1466210244.09700, -6.550, 4.750, -0.630, 136.150
1466210244.10700, -6.430, 4.720, -0.630, 136.120
1466210244.11700, -6.320, 4.690, -0.640, 136.100
1466210244.12700, -6.200, 4.660, -0.640, 136.080
1466210244.13700, -6.080, 4.620, -0.640, 136.060
1466210244.14700, -5.960, 4.590, -0.650, 136.030
1466210244.15700, -5.830, 4.550, -0.650, 136.010
1466210244.16700, -5.710, 4.520, -0.660, 135.990
1466210244.17700, -5.580, 4.480, -0.660, 135.960
1466210244.18600, -5.450, 4.440, -0.670, 135.940
1466210244.19700, -5.310, 4.400, -0.670, 135.910
1466210244.20700, -5.180, 4.360, -0.670, 135.890
1466210244.21700, -5.040, 4.320, -0.680, 135.870
1466210244.22700, -4.900, 4.280, -0.680, 135.840
1466210244.23700, -4.760, 4.230, -0.680, 135.820
1466210244.24700, -4.610, 4.190, -0.690, 135.790
1466210244.25700, -4.470, 4.140, -0.690, 135.770
1466210244.26700, -4.320, 4.100, -0.700, 135.750
1466210244.27700, -4.170, 4.050, -0.700, 135.720
1466210244.28700, -4.020, 4.000, -0.700, 135.700
1466210244.29700, -3.870, 3.960, -0.710, 135.670
1466210244.30600, -3.710, 3.910, -0.710, 135.650
1466210244.31600, -3.550, 3.860, -0.710, 135.620
1466210244.32600, -3.400, 3.810, -0.710, 135.600
1466210244.33700, -3.240, 3.760, -0.720, 135.580
1466210244.34600, -3.080, 3.700, -0.720, 135.550
1466210244.35700, -2.910, 3.650, -0.720, 135.530
1466210244.36700, -2.750, 3.600, -0.730, 135.500
